"","x"
"a0",1.01565137068325
"ws",2.40958389297738
"wi",0.809909233908137
"sigma",0.224426939668263
"gamma",0.605100760498402
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
