day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,10,0,0,0
2,8,9195,10,0,0,0
2,9,9195,10,0,0,0
2,10,9195,10,0,0,0
2,11,9195,10,0,0,0
3,12,9195,9,1,0,0
3,13,9195,8,2,0,0
3,14,9195,7,3,0,0
3,15,9192,9,4,0,0
4,16,9187,14,4,0,0
4,17,9185,16,4,0,0
4,18,9181,20,4,0,0
4,19,9175,26,4,0,0
5,20,9173,28,4,0,0
5,21,9171,29,5,0,0
5,22,9170,30,5,0,0
5,23,9167,33,5,0,0
6,24,9164,36,5,0,0
6,25,9163,37,5,0,0
6,26,9162,36,7,0,0
6,27,9162,36,7,0,0
7,28,9160,37,8,0,0
7,29,9160,36,9,0,0
7,30,9159,35,11,0,0
7,31,9154,37,14,0,0
8,32,9151,39,15,0,0
8,33,9145,45,15,0,0
8,34,9141,48,16,0,0
8,35,9139,49,17,0,0
9,36,9136,50,19,0,0
9,37,9130,52,23,0,0
9,38,9126,55,24,0,0
9,39,9115,63,27,0,0
10,40,9102,75,28,0,0
10,41,9098,77,30,0,0
10,42,9083,89,33,0,0
10,43,9066,104,35,0,0
11,44,9057,110,38,0,0
11,45,9048,115,42,0,0
11,46,9033,125,47,0,0
11,47,9011,140,54,0,0
12,48,8984,162,59,0,0
12,49,8970,171,64,0,0
12,50,8949,186,70,0,0
12,51,8918,211,76,0,0
13,52,8890,230,85,0,0
13,53,8861,250,94,0,0
13,54,8841,261,103,0,0
13,55,8814,279,112,0,0
14,56,8802,286,117,0,0
14,57,8787,293,125,0,0
14,58,8764,310,131,0,0
14,59,8717,344,144,0,0
15,60,8655,398,152,0,0
15,61,8613,427,165,0,0
15,62,8561,464,180,0,0
15,63,8503,504,197,1,0
16,64,8437,545,222,1,0
16,65,8396,573,235,1,0
16,66,8340,617,247,1,0
16,67,8272,672,260,1,0
17,68,8172,756,276,1,0
17,69,8102,811,291,1,0
17,70,8017,885,302,1,0
17,71,7926,957,321,1,0
18,72,7806,1040,358,1,0
18,73,7716,1104,384,1,0
18,74,7621,1172,411,1,0
18,75,7488,1269,447,1,0
19,76,7355,1358,490,2,0
19,77,7265,1418,520,2,0
19,78,7144,1498,561,2,0
19,79,6999,1595,608,3,0
20,80,6853,1693,655,4,0
20,81,6743,1762,696,4,0
20,82,6652,1799,750,4,0
20,83,6566,1826,808,5,0
21,84,6490,1837,872,6,0
21,85,6420,1838,941,6,0
21,86,6316,1869,1014,6,0
21,87,6189,1930,1080,6,0
