Time,Count
0,0
1,0
2,0
3,4
4,0
5,1
6,2
7,7
8,3
9,10
10,8
11,19
12,22
13,36
14,32
15,54
16,63
17,61
18,126
19,163
20,202
21,273
22,287
23,355
24,369
25,389
26,440
27,465
28,460
29,446
30,394
31,371
32,359
33,331
34,317
35,276
36,239
37,203
38,173
39,180
40,188
41,159
42,123
43,131
44,103
45,91
46,108
47,75
48,69
49,71
50,55
51,50
52,33
53,39
54,31
55,39
56,25
57,29
58,24
59,24
60,19
61,26
62,9
63,12
64,18
65,6
66,11
67,13
68,6
69,3
70,4
71,8
72,6
73,3
74,5
75,3
76,3
77,4
78,4
79,5
80,1
81,4
82,1
83,3
84,1
85,4
86,0
87,2
88,1
89,0
90,0
91,2
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,2
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,2
121,0
