"","x"
"a0",0.491277556138442
"ws",2.28258789111726
"wi",1.3559881471824
"sigma",0.204733209059016
"gamma",0.442137213570101
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
