Time,Count
0,0
1,0
2,1
3,0
4,1
5,1
6,2
7,4
8,1
9,1
10,5
11,7
12,9
13,9
14,11
15,20
16,38
17,39
18,56
19,83
20,137
21,157
22,222
23,257
24,332
25,374
26,451
27,518
28,520
29,561
30,477
31,487
32,413
33,428
34,337
35,352
36,318
37,271
38,216
39,178
40,201
41,179
42,131
43,150
44,122
45,91
46,95
47,83
48,55
49,80
50,49
51,43
52,53
53,36
54,28
55,35
56,27
57,17
58,24
59,25
60,17
61,14
62,16
63,15
64,8
65,12
66,5
67,5
68,4
69,6
70,4
71,6
72,8
73,3
74,4
75,2
76,1
77,2
78,1
79,1
80,0
81,2
82,3
83,2
84,0
85,2
86,2
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
