"","x"
"a00",1.70524140516261
"a01",1.04809302708965
"a10",1.78284550264044
"a11",1.75975559047603
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
"sigma",0.26
"gamma",0.6
