"","x"
"a0",1.1751517581537
"ws",1.27856115976083
"wi",2.87443661532022
"sigma",0.244380772284397
"gamma",0.817756964860673
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
