"","x"
"a0",1.14708562996972
"a1",1.55128130559874
"b0",0.948581579569067
"b1",1.22081536933603
"sigma",0.221458467788324
"gamma",0.782755458359221
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
