"","x"
"a0",0.634975289893704
"ws",5.86632892506244
"wi",19.4436258854824
"sigma",0.189752096694333
"gamma",0.809647587287764
"pop",9205
"S_0",0.998913633894622
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
