day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,10,0,0,0
2,8,9195,10,0,0,0
2,9,9195,10,0,0,0
2,10,9195,10,0,0,0
2,11,9195,8,2,0,0
3,12,9195,8,2,0,0
3,13,9195,8,2,0,0
3,14,9194,9,2,0,0
3,15,9194,9,2,0,0
4,16,9194,7,4,0,0
4,17,9193,7,5,0,0
4,18,9191,8,6,0,0
4,19,9189,9,7,0,0
5,20,9188,10,7,0,0
5,21,9184,14,7,0,0
5,22,9181,15,9,0,0
5,23,9175,21,9,0,0
6,24,9174,22,9,0,0
6,25,9169,27,9,0,0
6,26,9167,29,9,0,0
6,27,9164,31,10,0,0
7,28,9161,33,11,0,0
7,29,9158,36,11,0,0
7,30,9157,36,12,0,0
7,31,9155,36,14,0,0
8,32,9145,45,15,0,0
8,33,9143,46,16,0,0
8,34,9141,47,17,0,0
8,35,9132,56,17,0,0
9,36,9123,61,21,0,0
9,37,9113,70,22,0,0
9,38,9097,84,24,0,0
9,39,9085,94,26,0,0
10,40,9071,108,26,0,0
10,41,9058,117,30,0,0
10,42,9041,133,31,0,0
10,43,9011,159,35,0,0
11,44,8979,187,39,0,0
11,45,8964,198,43,0,0
11,46,8942,214,49,0,0
11,47,8886,268,51,0,0
12,48,8842,308,55,0,0
12,49,8812,333,60,0,0
12,50,8777,363,65,0,0
12,51,8725,405,75,0,0
13,52,8663,459,83,0,0
13,53,8620,493,92,0,0
13,54,8577,524,104,0,0
13,55,8560,533,112,0,0
14,56,8539,539,127,0,0
14,57,8508,550,147,0,0
14,58,8474,559,171,1,0
14,59,8416,597,191,1,0
15,60,8319,673,212,1,0
15,61,8252,722,230,1,0
15,62,8167,795,242,1,0
15,63,8049,887,268,1,0
16,64,7920,994,290,1,0
16,65,7845,1042,316,2,0
16,66,7753,1098,352,2,0
16,67,7605,1205,393,2,0
17,68,7445,1333,425,2,0
17,69,7340,1395,468,2,0
17,70,7192,1503,508,2,0
17,71,7035,1612,555,3,0
18,72,6861,1749,592,3,0
18,73,6734,1832,636,3,0
18,74,6596,1901,705,3,0
18,75,6415,2031,755,4,0
19,76,6222,2164,815,4,0
19,77,6118,2195,888,4,0
19,78,5979,2272,950,4,0
19,79,5827,2345,1029,4,0
20,80,5619,2507,1075,4,0
20,81,5485,2573,1142,5,0
20,82,5377,2580,1243,5,0
20,83,5272,2587,1341,5,0
21,84,5180,2587,1432,6,0
21,85,5090,2572,1537,6,0
21,86,5003,2555,1641,6,0
