Time,Count
0,1
1,0
2,2
3,2
4,0
5,3
6,0
7,4
8,5
9,8
10,10
11,11
12,8
13,21
14,33
15,37
16,48
17,69
18,115
19,144
20,182
21,218
22,272
23,307
24,349
25,362
26,415
27,433
28,462
29,442
30,385
31,382
32,373
33,341
34,295
35,296
36,279
37,267
38,221
39,193
40,171
41,184
42,129
43,147
44,116
45,116
46,95
47,84
48,67
49,69
50,58
51,45
52,48
53,37
54,56
55,43
56,27
57,35
58,23
59,19
60,18
61,14
62,21
63,17
64,15
65,16
66,16
67,11
68,10
69,9
70,12
71,5
72,4
73,4
74,8
75,9
76,2
77,5
78,1
79,6
80,3
81,1
82,1
83,3
84,1
85,0
86,0
87,0
88,2
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
