day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,9,1,0,0
0,2,9195,9,1,0,0
0,3,9195,9,1,0,0
1,4,9195,9,1,0,0
1,5,9195,9,1,0,0
1,6,9195,9,1,0,0
1,7,9195,9,1,0,0
2,8,9195,9,1,0,0
2,9,9195,8,2,0,0
2,10,9195,7,3,0,0
2,11,9195,7,3,0,0
3,12,9195,7,3,0,0
3,13,9194,8,3,0,0
3,14,9194,7,4,0,0
3,15,9194,6,5,0,0
4,16,9193,7,5,0,0
4,17,9193,7,5,0,0
4,18,9193,7,5,0,0
4,19,9193,7,5,0,0
5,20,9193,7,5,0,0
5,21,9193,7,5,0,0
5,22,9192,6,7,0,0
5,23,9188,9,8,0,0
6,24,9185,12,8,0,0
6,25,9182,15,8,0,0
6,26,9177,20,8,0,0
6,27,9174,23,8,0,0
7,28,9174,23,8,0,0
7,29,9172,23,10,0,0
7,30,9168,27,10,0,0
7,31,9167,26,12,0,0
8,32,9163,30,12,0,0
8,33,9158,33,14,0,0
8,34,9154,36,15,0,0
8,35,9151,37,17,0,0
9,36,9143,44,18,0,0
9,37,9137,48,20,0,0
9,38,9132,51,22,0,0
9,39,9123,57,25,0,0
10,40,9116,63,26,0,0
10,41,9113,64,28,0,0
10,42,9109,63,33,0,0
10,43,9104,66,35,0,0
11,44,9089,78,38,0,0
11,45,9077,87,41,0,0
11,46,9063,99,43,0,0
11,47,9045,114,46,0,0
12,48,9025,131,49,0,0
12,49,9016,139,50,0,0
12,50,8996,156,53,0,0
12,51,8963,188,54,0,0
13,52,8940,210,55,0,0
13,53,8919,226,60,0,0
13,54,8896,240,69,0,0
13,55,8874,256,75,0,0
14,56,8862,260,83,0,0
14,57,8851,265,89,0,0
14,58,8840,263,102,0,0
14,59,8816,281,108,0,0
15,60,8772,320,113,0,0
15,61,8741,345,119,0,0
15,62,8713,364,128,0,0
15,63,8670,390,145,0,0
16,64,8593,454,158,0,0
16,65,8550,489,166,0,0
16,66,8506,522,177,0,0
16,67,8424,588,193,0,0
17,68,8327,670,208,0,0
17,69,8273,710,222,0,0
17,70,8197,767,241,0,0
17,71,8116,827,262,0,0
18,72,8021,896,288,0,0
18,73,7928,965,312,0,0
18,74,7829,1038,338,0,0
18,75,7733,1095,377,0,0
19,76,7612,1181,412,0,0
19,77,7506,1253,445,1,0
19,78,7414,1314,476,1,0
19,79,7270,1414,520,1,0
20,80,7098,1545,560,2,0
20,81,6998,1599,605,3,0
20,82,6908,1651,643,3,0
20,83,6824,1678,700,3,0
21,84,6779,1677,746,3,0
21,85,6725,1682,795,3,0
21,86,6663,1684,855,3,0
21,87,6552,1732,917,4,0
22,88,6407,1813,981,4,0
22,89,6321,1831,1048,5,0
22,90,6221,1860,1119,5,0
22,91,6050,1962,1188,5,0
23,92,5858,2084,1257,6,0
23,93,5758,2104,1337,6,0
23,94,5641,2148,1410,6,0
23,95,5485,2220,1494,6,0
24,96,5299,2337,1562,7,0
24,97,5185,2348,1665,7,0
24,98,5068,2376,1753,8,0
24,99,4924,2432,1840,9,0
25,100,4755,2509,1931,10,0
25,101,4631,2554,2009,11,0
25,102,4540,2548,2105,12,0
25,103,4381,2613,2199,12,0
26,104,4225,2680,2286,14,0
26,105,4133,2661,2396,15,0
26,106,4033,2653,2501,18,0
26,107,3935,2644,2606,19,1
27,108,3792,2686,2707,19,1
27,109,3698,2654,2830,22,1
27,110,3621,2633,2924,26,1
27,111,3551,2595,3028,30,1
28,112,3467,2561,3144,32,1
28,113,3402,2512,3253,37,1
28,114,3342,2444,3377,41,1
28,115,3245,2439,3475,45,1
29,116,3136,2444,3578,46,1
29,117,3065,2407,3684,48,1
