day,cycle,contact_name,contact_covariate_X,individual_name,individual_covariate_Y,latent_time,infectious_time,serial_interval,time_before_hospitalisation
3,12,Individual711,1.0,Individual8828,1.0,1.9963032069409554,20.612870345359003,0.8367580326179631,0.0
3,15,Individual771,0.0,Individual3950,0.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
4,17,Individual8166,1.0,Individual3950,0.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
5,21,Individual5218,1.0,Individual8828,1.0,1.9963032069409554,20.612870345359003,0.8367580326179631,0.0
5,22,Individual8,0.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,22,Individual742,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,22,Individual6314,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,22,Individual2307,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,23,Individual4176,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,23,Individual4476,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,23,Individual8186,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
5,23,Individual5468,1.0,Individual771,0.0,1.3842981363444047,23.775528135344988,3.2164171421181598,0.0
5,23,Individual3414,0.0,Individual4988,1.0,5.243317148053183,16.611607694196433,0.6486149460625366,0.0
6,24,Individual5093,0.0,Individual3950,0.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
6,24,Individual5108,0.0,Individual3950,0.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
6,24,Individual7544,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
6,24,Individual6361,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
6,24,Individual1089,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
6,24,Individual2118,0.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,24,Individual1972,0.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,24,Individual277,1.0,Individual771,0.0,1.3842981363444047,23.775528135344988,3.2164171421181598,0.0
6,25,Individual1064,1.0,Individual771,0.0,1.3842981363444047,23.775528135344988,3.2164171421181598,0.0
6,25,Individual6479,1.0,Individual4988,1.0,5.243317148053183,16.611607694196433,0.6486149460625366,0.0
6,25,Individual5759,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
6,25,Individual6367,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,25,Individual130,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,25,Individual876,0.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,26,Individual7172,1.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,26,Individual6337,0.0,Individual816,1.0,5.239055212088316,14.662996031612634,7.628325906424891,0.0
6,26,Individual3594,1.0,Individual8828,1.0,1.9963032069409554,20.612870345359003,0.8367580326179631,0.0
6,27,Individual972,0.0,Individual3950,0.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
6,27,Individual6577,0.0,Individual3335,0.0,0.0,26.968946652392102,-3.3549790619582907,0.0
7,28,Individual6015,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
7,28,Individual4941,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
7,29,Individual826,1.0,Individual350,1.0,3.403515855441731,28.352322581396017,2.317407107571089,0.0
7,29,Individual4306,0.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
7,29,Individual7687,1.0,Individual5218,1.0,1.7082092523317691,14.301979317916203,7.726870849185451,0.0
7,29,Individual5643,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
7,30,Individual7813,1.0,Individual380,0.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
7,30,Individual7022,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
7,31,Individual2257,1.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
7,31,Individual3515,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
7,31,Individual367,1.0,Individual3912,1.0,7.4923315245417506,11.368843163747428,7.123937180072849,0.0
7,31,Individual4338,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
7,31,Individual3327,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,32,Individual2366,1.0,Individual350,1.0,3.403515855441731,28.352322581396017,2.317407107571089,0.0
8,32,Individual5658,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,32,Individual507,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,32,Individual5978,1.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
8,32,Individual2360,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
8,32,Individual6467,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,33,Individual5811,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
8,33,Individual5745,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,33,Individual6183,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,33,Individual3124,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,34,Individual4348,0.0,Individual2360,0.0,0.12189496029044067,24.947950399290495,-3.640837570141662,19.521963914445905
8,34,Individual9042,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
8,34,Individual6985,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
8,34,Individual7365,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,34,Individual3048,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,34,Individual7981,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,34,Individual1067,1.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,34,Individual6413,0.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,34,Individual3027,0.0,Individual2366,0.0,0.0,17.55420153290215,-2.8793897830139454,0.0
8,35,Individual3237,1.0,Individual2366,0.0,0.0,17.55420153290215,-2.8793897830139454,0.0
8,35,Individual7891,1.0,Individual2366,0.0,0.0,17.55420153290215,-2.8793897830139454,0.0
8,35,Individual8712,1.0,Individual2366,0.0,0.0,17.55420153290215,-2.8793897830139454,0.0
8,35,Individual8408,1.0,Individual6314,1.0,2.3698256508059936,23.824570420178688,3.9841104266773195,0.0
8,35,Individual3853,0.0,Individual6314,1.0,2.3698256508059936,23.824570420178688,3.9841104266773195,0.0
8,35,Individual1435,1.0,Individual6314,1.0,2.3698256508059936,23.824570420178688,3.9841104266773195,0.0
8,35,Individual3212,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,35,Individual8792,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,35,Individual3638,0.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
8,35,Individual7434,0.0,Individual3950,1.0,2.1536320297092217,36.404021099609956,-4.302184525866962,0.0
8,35,Individual3107,1.0,Individual2360,0.0,0.12189496029044067,24.947950399290495,-3.640837570141662,19.271963914445905
8,35,Individual8333,0.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
8,35,Individual6497,1.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
8,35,Individual3411,1.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
8,35,Individual8403,1.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
8,35,Individual182,0.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
9,36,Individual2504,1.0,Individual2360,0.0,0.12189496029044067,24.947950399290495,-3.640837570141662,19.021963914445905
9,36,Individual1314,0.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
9,36,Individual8938,0.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
9,36,Individual5046,1.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
9,36,Individual6475,1.0,Individual4176,1.0,2.676352292948104,24.816210645665237,6.288038881490461,0.0
9,36,Individual1065,0.0,Individual1089,0.0,2.447725533088023,15.796563156339374,0.7946075036620073,0.0
9,36,Individual5172,0.0,Individual1089,0.0,2.447725533088023,15.796563156339374,0.7946075036620073,0.0
9,36,Individual535,0.0,Individual1089,0.0,2.447725533088023,15.796563156339374,0.7946075036620073,0.0
9,36,Individual1894,0.0,Individual711,1.0,4.167010669288581,17.486222698175805,5.01904868912638,0.0
9,36,Individual5610,1.0,Individual711,1.0,4.167010669288581,17.486222698175805,5.01904868912638,0.0
9,36,Individual8009,0.0,Individual380,1.0,6.950854348137938,17.0869208915176,-0.3614105672896972,0.0
9,37,Individual3261,1.0,Individual7701,1.0,3.224153266989199,25.486170784884916,7.215474494475613,0.0
9,37,Individual5717,1.0,Individual2360,0.0,0.12189496029044067,24.947950399290495,-3.640837570141662,18.771963914445905
9,37,Individual5098,0.0,Individual2360,0.0,0.12189496029044067,24.947950399290495,-3.640837570141662,18.771963914445905
