"","x"
"a0",0.811542653341818
"a1",5.15697800013297
"b0",1.47286805162347
"b1",22.8886295206995
"gamma",0.249338743500121
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"sigma",0.149476831091181
"rho",1
