"","x"
"a00",0.364935393128966
"a01",0.236693554669402
"a10",0.925386482032668
"a11",1.60213996448158
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
"sigma",0.26
"gamma",0.6
