"","x"
"a00",0.0382837268325483
"a01",0.619407972882433
"a10",0.856703207816787
"a11",8.23707170813339
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
"sigma",0.26
"gamma",0.6
