"a0","a1","b0","b1","sigma","gamma","pop","S_0","E_0","I_0","R_0","rho","loglik","loglik.se"
1.77227577142737,2.83621383957218,1.30227816023102,0.806755049503036,0.183385039358789,0.867862417214051,9205,0.998913633894623,0.00108636610537751,0,0,1,-326.087369610218,0.848285726210371
0.833885678564909,1.29038230087464,1.25408782394092,4.59505216104602,0.191590339436631,0.827223775692848,9205,0.998913633894623,0.00108636610537751,0,0,1,-326.887695333262,4.20796017645494
0.552183050572248,1.93913326427707,0.800055040073282,6.44995253164766,0.204029403435164,0.796124939163319,9205,0.998913633894623,0.00108636610537751,0,0,1,-327.507527470758,0.905739991564628
0.640974237665892,1.9625182636556,0.289937961306532,8.93407031214681,0.210568561663061,0.794441597276805,9205,0.998913633894623,0.00108636610537751,0,0,1,-327.76334388429,0.94318929700316
0.741133257219867,1.51568091475732,2.42857706191802,3.74546562748724,0.19920533744285,0.86269763986532,9205,0.998913633894623,0.00108636610537751,0,0,1,-327.879322506676,2.0053208070518
1.31063800687394,2.41474589089339,2.93837787887384,1.75636063411857,0.19474868212917,0.862116183557943,9205,0.998913633894623,0.00108636610537751,0,0,1,-328.177040491705,27.2580090482783
2.25668701930686,0.501354254425847,0.199176155433785,7.08534637708997,0.198814808103584,0.807332476804454,9205,0.998913633894623,0.00108636610537751,0,0,1,-328.219294677873,0.893742139778683
1.33498420565149,32.2661798220261,1.29505638649009,1.80930806952791,0.205464253381462,0.841504744242154,9205,0.998913633894623,0.00108636610537751,0,0,1,-328.261245814812,1.02099328975043
1.74987759721046,3.23462599772655,2.18310939075231,1.70722867108516,0.194834373861802,0.875990377011328,9205,0.998913633894623,0.00108636610537751,0,0,1,-328.42560029064,1.22965629721768
0.699222609867198,1.01772604129324,5.22295489104793,0.165205775837636,0.196361078005544,0.885888443454206,9205,0.998913633894623,0.00108636610537751,0,0,1,-329.269159740643,2.17938722877788
2.07153354638915,3.41339943410003,1.39843000632137,1.27685274711188,0.194495017731864,0.840881706863198,9205,0.998913633894623,0.00108636610537751,0,0,1,-329.296998847833,0.765658250476057
1.0516037735428,1.06880210109415,1.0384399996456,0.829826419520594,0.209148463649183,0.793207548651968,9205,0.998913633894623,0.00108636610537751,0,0,1,-330.171485549128,25.7425189448303
1.31663820136615,1.67209228974729,0.463501833948348,3.70606636143174,0.196783292569831,0.848755499286806,9205,0.998913633894622,0.00108636610537751,0,0,1,-330.267977939694,5.63375369454747
1.02184636490859,5.42583770137761,2.09316639717736,3.6707861678278,0.209338701494571,0.845652954761033,9205,0.998913633894623,0.00108636610537751,0,0,1,-330.530785521995,0.778249200149305
1.74922912942006,3.96765388998622,3.02238047209965,1.47784310945934,0.180882773148944,0.90118269437515,9205,0.998913633894623,0.00108636610537751,0,0,1,-330.690127236745,29.1492906842935
0.331476902476247,0.657936022843217,0.0674315895985993,18.2586528496159,0.211428011803096,0.767868805000966,9205,0.998913633894623,0.00108636610537751,0,0,1,-330.717159158541,2.38567439727557
1.20726318856857,0.857583439986004,0.958221659461556,4.35415270273384,0.200193537664985,0.867920649000495,9205,0.998913633894623,0.00108636610537751,0,0,1,-331.966372600127,25.71787897337
2.84807730757054,0.91190726807014,0.118970953733452,6.21147142608973,0.206629659068761,0.828973960812387,9205,0.998913633894623,0.00108636610537751,0,0,1,-332.033576834402,32.5448125496422
0.743630932370881,15.9063302819676,0.921232864149039,1.83777051184862,0.207152066269845,0.773304926260923,9205,0.998913633894623,0.00108636610537751,0,0,1,-332.31941020231,24.9430981823201
1.26538178199183,0.424852284244897,0.186782319406593,9.37497622217588,0.227221700816556,0.755459107683008,9205,0.998913633894622,0.00108636610537751,0,0,1,-333.014387456699,27.2903351099487
1.99741794658967,8.19711960056661,0.061502313105266,10.0742051672508,0.221006160392415,0.767710923175475,9205,0.998913633894623,0.00108636610537751,0,0,1,-333.443214790912,23.3679350126411
1.99029648944144,0.739494896231169,3.37022902524908,1.9479142370149,0.19272724954325,0.828565129445388,9205,0.998913633894623,0.00108636610537751,0,0,1,-333.523028140597,1.16152400186982
0.518580410329062,1.31179993419439,3.40505492934757,5.60277034790403,0.180318255137727,0.883985866152768,9205,0.998913633894623,0.00108636610537751,0,0,1,-333.592303932237,25.559821130341
0.418753269608179,4.23771313017177,1.63065672193965,2.67761007043528,0.210310406632184,0.80155909428804,9205,0.998913633894623,0.00108636610537751,0,0,1,-334.256868092053,25.6231152022328
0.435821341238752,2.42313269979499,1.26482642994089,15.6325045723061,0.181891901505514,0.830943944553361,9205,0.998913633894623,0.00108636610537751,0,0,1,-334.349159731571,27.8168072651567
0.187145188453464,1.97579562866217,4.84300246870834,4.96867655021524,0.226477215833094,0.758489687121077,9205,0.998913633894623,0.00108636610537751,0,0,1,-334.771052765827,3.73973611155187
1.01279423985258,1.60490988553245,0.0671304607144086,2.59649672253277,0.209986259731873,0.728809306690713,9205,0.998913633894623,0.00108636610537751,0,0,1,-335.076628393994,28.5682663258278
