"","x"
"a0",3.43670996246642
"ws",5.87071456766953
"wi",1.37530535918537
"sigma",0.285692742382397
"gamma",0.837225380685902
"pop",9205
"S_0",0.998913633894623
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
