day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,9,1,0,0
0,2,9195,9,1,0,0
0,3,9195,9,1,0,0
1,4,9195,9,1,0,0
1,5,9195,9,1,0,0
1,6,9195,9,1,0,0
1,7,9195,9,1,0,0
2,8,9195,8,2,0,0
2,9,9195,8,2,0,0
2,10,9195,8,2,0,0
2,11,9192,11,2,0,0
3,12,9192,11,2,0,0
3,13,9190,11,4,0,0
3,14,9187,14,4,0,0
3,15,9185,16,4,0,0
4,16,9180,20,5,0,0
4,17,9176,23,6,0,0
4,18,9174,25,6,0,0
4,19,9172,25,8,0,0
5,20,9171,26,8,0,0
5,21,9170,27,8,0,0
5,22,9167,29,9,0,0
5,23,9164,31,10,0,0
6,24,9160,32,13,0,0
6,25,9155,36,14,0,0
6,26,9149,39,17,0,0
6,27,9146,42,17,0,0
7,28,9144,44,17,0,0
7,29,9141,45,19,0,0
7,30,9137,45,23,0,0
7,31,9132,49,24,0,0
8,32,9124,54,27,0,0
8,33,9116,58,31,0,0
8,34,9104,68,33,0,0
8,35,9082,90,33,0,0
9,36,9077,92,36,0,0
9,37,9064,104,37,0,0
9,38,9053,111,41,0,0
9,39,9035,128,42,0,0
10,40,9009,152,44,0,0
10,41,8995,162,48,0,0
10,42,8980,171,54,0,0
10,43,8946,201,58,0,0
11,44,8922,219,64,0,0
11,45,8904,233,68,0,0
11,46,8890,245,70,0,0
11,47,8861,265,79,0,0
12,48,8825,295,85,0,0
12,49,8793,319,93,0,0
12,50,8769,333,103,0,0
12,51,8734,358,113,0,0
13,52,8683,398,124,0,0
13,53,8633,433,139,0,0
13,54,8589,468,148,0,0
13,55,8562,483,160,0,0
14,56,8544,486,175,0,0
14,57,8522,495,188,0,0
14,58,8491,512,201,1,0
14,59,8436,555,213,1,0
15,60,8382,590,232,1,0
15,61,8335,616,253,1,0
15,62,8292,634,278,1,0
15,63,8214,692,297,2,0
16,64,8110,766,327,2,0
16,65,8047,799,357,2,0
16,66,7955,868,380,2,0
16,67,7839,963,401,2,0
17,68,7729,1045,429,2,0
17,69,7639,1108,456,2,0
17,70,7538,1179,486,2,0
17,71,7436,1245,522,2,0
18,72,7349,1289,565,2,0
18,73,7295,1310,597,3,0
18,74,7209,1354,639,3,0
18,75,7094,1431,677,3,0
19,76,6975,1500,727,3,0
19,77,6889,1532,781,3,0
19,78,6795,1580,827,3,0
19,79,6702,1609,891,3,0
20,80,6589,1657,956,3,0
20,81,6515,1665,1022,3,0
20,82,6434,1679,1088,4,0
20,83,6367,1693,1141,4,0
21,84,6313,1681,1207,4,0
21,85,6242,1686,1271,6,0
21,86,6181,1671,1347,6,0
21,87,6086,1696,1417,6,0
22,88,5948,1767,1484,6,0
22,89,5861,1787,1551,6,0
22,90,5773,1815,1609,8,0
22,91,5667,1848,1678,12,0
23,92,5528,1923,1742,12,0
23,93,5451,1918,1823,13,0
23,94,5378,1911,1903,13,0
23,95,5279,1940,1969,17,0
24,96,5181,1952,2054,18,0
24,97,5125,1924,2138,18,0
24,98,5057,1916,2214,18,0
24,99,4958,1948,2279,20,0
25,100,4855,1960,2367,23,0
25,101,4790,1934,2457,24,0
25,102,4719,1910,2548,28,0
25,103,4621,1936,2617,31,0
26,104,4542,1939,2691,33,0
26,105,4477,1930,2763,35,0
26,106,4413,1908,2846,38,0
26,107,4332,1899,2933,41,0
27,108,4251,1895,3016,43,0
27,109,4182,1886,3089,48,0
27,110,4122,1869,3159,55,0
27,111,4067,1857,3220,61,0
28,112,4017,1832,3292,64,0
28,113,3975,1796,3365,69,0
28,114,3919,1775,3436,75,0
28,115,3850,1760,3513,82,0
29,116,3771,1766,3582,86,0
