day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,9,1,0,0
1,6,9195,8,2,0,0
1,7,9195,7,3,0,0
2,8,9195,7,3,0,0
2,9,9195,7,3,0,0
2,10,9195,7,3,0,0
2,11,9195,7,3,0,0
3,12,9194,8,3,0,0
3,13,9194,8,3,0,0
3,14,9193,9,3,0,0
3,15,9192,10,3,0,0
4,16,9190,11,4,0,0
4,17,9190,11,4,0,0
4,18,9188,13,4,0,0
4,19,9182,19,4,0,0
5,20,9179,21,5,0,0
5,21,9178,21,6,0,0
5,22,9174,25,6,0,0
5,23,9170,29,6,0,0
6,24,9169,30,6,0,0
6,25,9166,33,6,0,0
6,26,9166,32,7,0,0
6,27,9160,38,7,0,0
7,28,9159,39,7,0,0
7,29,9159,37,9,0,0
7,30,9156,40,9,0,0
7,31,9155,40,10,0,0
8,32,9152,42,11,0,0
8,33,9151,42,12,0,0
8,34,9148,43,14,0,0
8,35,9138,50,17,0,0
9,36,9131,56,18,0,0
9,37,9120,63,22,0,0
9,38,9108,74,23,0,0
9,39,9088,90,27,0,0
10,40,9064,110,31,0,0
10,41,9051,120,34,0,0
10,42,9034,135,36,0,0
10,43,9003,163,39,0,0
11,44,8974,190,41,0,0
11,45,8942,218,45,0,0
11,46,8906,250,49,0,0
11,47,8849,301,55,0,0
12,48,8794,346,65,0,0
12,49,8743,390,72,0,0
12,50,8691,435,79,0,0
12,51,8615,499,91,0,0
13,52,8530,576,99,0,0
13,53,8474,613,118,0,0
13,54,8407,658,140,0,0
13,55,8348,705,152,0,0
14,56,8304,733,168,0,0
14,57,8268,746,191,0,0
14,58,8210,783,212,0,0
14,59,8111,852,242,0,0
15,60,7964,971,270,0,0
15,61,7871,1034,300,0,0
15,62,7768,1111,326,0,0
15,63,7608,1234,363,0,0
16,64,7425,1379,401,0,0
16,65,7305,1458,442,0,0
16,66,7145,1582,478,0,0
16,67,6973,1708,524,0,0
17,68,6779,1854,572,0,0
17,69,6623,1963,619,0,0
17,70,6464,2064,677,0,0
17,71,6274,2188,743,0,0
18,72,6008,2380,817,0,0
18,73,5854,2469,882,0,0
18,74,5676,2579,950,0,0
18,75,5419,2741,1045,0,0
19,76,5154,2928,1123,0,0
19,77,4984,3003,1218,0,0
19,78,4822,3078,1305,0,0
19,79,4618,3171,1416,0,0
20,80,4416,3274,1515,0,0
20,81,4276,3308,1621,0,0
20,82,4160,3315,1729,1,0
20,83,4058,3295,1851,1,0
21,84,3946,3285,1972,2,0
21,85,3825,3298,2080,2,0
21,86,3727,3267,2208,3,0
