Time,Count
0,0
1,3
2,0
3,0
4,1
5,2
6,1
7,3
8,7
9,10
10,12
11,16
12,36
13,61
14,90
15,121
16,161
17,219
18,302
19,371
20,436
21,481
22,567
23,536
24,552
25,556
26,505
27,458
28,427
29,400
30,338
31,303
32,248
33,218
34,182
35,178
36,172
37,161
38,121
39,116
40,85
41,75
42,60
43,66
44,48
45,41
46,31
47,39
48,27
49,19
50,16
51,20
52,13
53,16
54,9
55,16
56,10
57,12
58,6
59,4
60,0
61,8
62,3
63,4
64,4
65,3
66,3
67,0
68,1
69,1
70,0
71,2
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
