day,cycle,contact_name,contact_covariate_X,individual_name,individual_covariate_Y,latent_time,infectious_time,serial_interval,time_before_hospitalisation
5,23,Individual424,0.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.9284093864256
5,23,Individual6916,0.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.9284093864256
5,23,Individual7344,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.9284093864256
5,23,Individual682,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.9284093864256
6,24,Individual8694,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.6784093864256
6,24,Individual4620,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.6784093864256
6,24,Individual5889,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.6784093864256
6,25,Individual3391,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,16.4284093864256
6,27,Individual4677,0.0,Individual4782,0.0,6.1427877096701335,21.995777319018416,3.162223624886868,0.0
7,28,Individual21,1.0,Individual3587,1.0,5.600159851650484,28.003685921722845,6.142734128693556,0.0
7,28,Individual1165,1.0,Individual185,1.0,4.033569731244829,19.562868214269653,10.455021541744818,1.7932543107402754
7,29,Individual4694,1.0,Individual6916,0.0,0.6511042571201209,15.031612144921787,-1.6643317300094091,0.0
7,29,Individual7321,0.0,Individual6916,0.0,0.6511042571201209,15.031612144921787,-1.6643317300094091,0.0
7,30,Individual8843,1.0,Individual6916,0.0,0.6511042571201209,15.031612144921787,-1.6643317300094091,0.0
7,30,Individual6626,0.0,Individual3587,1.0,5.600159851650484,28.003685921722845,6.142734128693556,0.0
7,30,Individual8400,0.0,Individual3587,1.0,5.600159851650484,28.003685921722845,6.142734128693556,0.0
7,30,Individual1988,1.0,Individual3587,1.0,5.600159851650484,28.003685921722845,6.142734128693556,0.0
7,30,Individual7655,0.0,Individual4782,0.0,6.1427877096701335,21.995777319018416,3.162223624886868,0.0
7,31,Individual3934,1.0,Individual4782,0.0,6.1427877096701335,21.995777319018416,3.162223624886868,0.0
7,31,Individual5544,0.0,Individual6916,0.0,0.6511042571201209,15.031612144921787,-1.6643317300094091,0.0
7,31,Individual7509,1.0,Individual1206,1.0,4.779625910157927,29.400194432610586,4.364676241931435,14.9284093864256
7,31,Individual106,1.0,Individual377,1.0,7.295560862398454,16.334865809037964,11.027371759934544,0.0
