"","x"
"a00",0.343829314036359
"a01",1.28883129926956
"a10",3.09739651657232
"a11",1.40129795635762
"pop",9205
"S_0",0.998913633894622
"E_0",0.00108636610537751
"I_0",0
"R_0",0
"rho",1
"sigma",0.26
"gamma",0.6
